滿	扑满 	[pu1 man3]	/Spardose, Sparschwein (S)/
暴露	暴露 	[bao4 lu4]	/enthüllen; offenlegen; demaskieren (V)/
暴風	暴风 	[bao4 feng1]	/Sturm (S, Met)/
暴風雨	暴风雨 	[bao4 feng1 yu3]	/Unwetter, Sturm (S, Met)/Der Sturm (Theaterstück von William Shakespeare 奥塞罗[sha1 shi4 bi3 ya4], 1611) (Lit, Werk)/
暴風雨警報	暴风雨警报 	[bao4 feng1 yu3 jing3 bao4]	/Unwetterwarnung (S, Met)/
暴風雪	暴风雪 	[bao4 feng1 xue3]	/Blizzard, Schneesturm (S, Met)/
暴風驟雨颶	暴风骤雨飓 	[bao4 feng1 zhou4 yu3 ju4]	/Wirbelsturm (S, Met)/
暴食	暴食 	[bao4 shi2]	/Fresserei (S)/Völlerei (S)/
暴食症	暴食症 	[bao4 shi2 zheng4]	/Bulimie, Ess-Brech-Sucht (S, Psych)/
暴飲	暴饮 	[bao4 yin3]	/Unmäßigkeit (S)/
暴龍或叫晚白堊世恐龍	暴龙或叫晚白垩世恐龙 	[bao4 long2 huo4 jiao4 wan3 bai2 e4 shi4 kong3 long2]	/Tyrannosaurus oder Spätkreide-Dinosaurier (S, Zool)/
暴龍	暴龙 	[bao4 long2]	/Tyrannosaurus Rex (S, Zool)/
暵	暵 	[han4]	/echt geil, heiß (Adj)/
暸	暸 	[liao2]	/heiter, hell, klar, leuchtend (Adj)/
暹	暹 	[xian1]	/Siam (ehem. Thailand) (Geo, Gesch)/
暹粒市	暹粒市 	[xian1 li4 shi4]	/Siem Reap (Stadt in Kambodscha) (Geo)/
暹粒省	暹粒省 	[xian1 li4 sheng3]	/Siem Reap (Provinz in Kambodscha) (Geo)/
暹羅人	暹罗人 	[xian1 luo2 ren2]	/Siamese (S)/
暹羅	暹罗 	[xian1 luo2]	/siamesisch (Adj)/
暹羅灣	暹罗湾 	[xian1 luo2 wan1]	/Golf von Thailand (Eig, Geo)/
暹羅貓	暹罗猫 	[xian1 luo2 mao1]	/Siamkatze (S, Zool)/
暻	暻 	[jing3]	/heiter, hell, klar, leuchtend (Adj)/
暾	暾 	[tun1]	/die Sonne über dem Horizont (S)/
曀	曀 	[yi4]	/dunkel (Adj)/
曄	晔 	[ye4]	/funkeln (V)/
曆	历 	[li4]	/Kalender, Zeitrechnung, Kalenderrechnung (S)/nacheinander (Adv), vollständig (Adj), in allen Einzelheiten (S)/alle bisherigen, die früheren (Adj)/dauern, vergehen (V)/durchlaufen, durchmachen, hindurchgehen (V)/
曆史之終結與最后之人	历史之终结与最后之人 	[li4 shi3 zhi1 zhong1 jie2 yu3 zui4 hou4 zhi1 ren2]	/Ende der Geschichte (Buch von Francis Fukuyama) (Lit, Werk)/
曆書	历书 	[li4 shu1]	/Almanach, Jahrbuch (S)/
曇	昙 	[tan2]	/Tan (Eig, Fam)/
曇花一現	昙花一现 	[tan2 hua1 yi1 xian4]	/Eintagsfliege, nur von kurzer Dauer (S)/
曇花	昙花 	[tan2 hua1]	/Epiphyllum (S, Bot)/
曈	曈 	[tong2]	/die aufgehende Sonne (S)/
曉得	晓得 	[xiao3 de2]	/wissen (V)/
曉星	晓星 	[xiao3 xing1]	/Leuchtstoff (S)/
曉	晓 	[xiao3]	/Morgengrauen (S)/Tagesbeginn(S)/wissen (V)/jmdn. wissen lassen (V)/etw. ausdrücklich tun (V)/
曉示	晓示 	[xiao3 shi4]	/anzeigen, benachrichtigen (V)/berichten, erzählen (V)/
曉蟲	晓虫 	[xiao3 chong2]	/Morgenkäfer (S, Zool)/
曌	曌 	[zhao4]	/(selbst gegebener Name einer Tang Herrscherin Wu Zetian 武則天|武则天[wu3 ze2 tian1])/
曏市中心方曏	向市中心方向 	[xiang4 shi4 zhong1 xin1 fang1 xiang4]	/Richtung Stadtzentrum (S)/stadteinwärts (Adv)/
曏	曏 	[xiang4]	/ehedem, ehemals (Adv)/
曏東北	向东北 	[xiang4 dong1 bei3]	/nordostwärts (Adv)/nach Nordosten (S)/
曏東南	向东南 	[xiang4 dong1 nan2]	/südostwärts (Adv)/
曏西北	向西北 	[xiang4 xi1 bei3]	/nordwestwärts (Adv)/
曏量加法	向量加法 	[xiang4 liang4 jia1 fa3]	/Vektoraddition (S, Math)/
曏量勢	向量势 	[xiang4 liang4 shi4]	/Vektorpotential (S, Math)/
曏量的加法	向量的加法 	[xiang4 liang4 de5 jia1 fa3]	/Vektoraddition (S, Math)/
曐	曐 	[xing1]	/alte Variante von 星[xing1] (X)/
曑	曑 	[shen1]	/alte Variante von 參|参[shen1] (X)/(Sternbild)/
曒	曒 	[jiao3]	/alte Variante von 皦[jiao3] (X)/
曓	曓 	[bao4]	/alte Variante von 暴[bao4] (X)/
曖昧化	暧昧化 	[ai4 mei4 hua4]	/Verdunkelung (S)/
曖昧	暧昧 	[ai4 mei4]	/unklar, mehrdeutig (Adj); Bsp.: 曖昧的答覆 暧昧的答复 -- mehrdeutige Antwort/dubios, verdächtig (Adj); Bsp.: 曖昧關係 暧昧关系 -- zweifelhafte Beziehung/
曖昧的燭光	暧昧的烛光 	[ai4 mei4 de5 zhu2 guang1]	/im Kerzenschimmer (S)/
曖	暧 	[ai4]	/dämmrig; schummrig (Tageslicht) (Adj)/unklar; obskur (Adj)/heimlich; verborgen; illegal (Adj)/zweifelhaft; fragwürdig; dubios (Adj)/
曘	曘 	[ru2]	/die Farbe der Sonne (S)/dunkel (Adj)/
曙光	曙光 	[shu4 guang1]	/Morgendämmerung, Morgenrot (S)/
曙	曙 	[shu3]	/Anbruch, Beginn (S)/
曚	曚 	[meng2]	/Dämmerung vor dem Morgengrauen (S)/
曛	曛 	[xun1]	/Abendrot (S)/
曜	曜 	[yao4]	/glorreich, herrlich (Adj)/
曝光不足	曝光不足 	[pu4 guang1 bu4 zu2]	/Unterbelichtung (S)/unterbelichtet (Adj)/
曝光不足的底片	曝光不足的底片 	[pu4 guang1 bu4 zu2 de5 di3 pian4]	/Unterbelichtung (S)/
曝光光源	曝光光源 	[bao4 guang1 guang1 yuan2]	/Belichtungsquelle (S)/
曝光功率	曝光功率 	[bao4 guang1 gong1 lü4]	/Belichtungsleistung (S)/
曝光台	曝光台 	[pu4 guang1 tai2]	/Leuchtturm (S, Arch)/
曝光單元	曝光单元 	[bao4 guang1 dan1 yuan2]	/Belichtungseinheit (S)/
曝光寬容度	曝光宽容度 	[pu4 guang1 kuan1 rong2 du4]	/Belichtungsspielraum (S, Tech)/
曝光尺寸	曝光尺寸 	[bao4 guang1 chi3 cun4]	/Belichtungsformat (S)/
曝光控制	曝光控制 	[pu4 guang1 kong4 zhi4]	/Belichtungssteuerung (S)/
曝光控制條	曝光控制条 	[pu4 guang1 kong4 zhi4 tiao2]	/Kopiermessstreifen (S)/
曝光時間	曝光时间 	[bao4 guang1 shi2 jian1]	/Belichtungsdauer, Belichtungszeit (S, Phys)/
曝光晒掉	曝光晒掉 	[bao4 guang1 shai4 diao4]	/Wegbelichten (S)/
曝光	曝光 	[bao4 guang1]	/Belichtung (S)/belichten (V)/
曝光測量	曝光测量 	[pu4 guang1 ce4 liang2]	/Belichtungsmessung (S)/
曝光燈	曝光灯 	[pu4 guang1 deng1]	/Belichtungslampe (S, Tech)/
曝光程序	曝光程序 	[bao4 guang1 cheng2 xu4]	/Belichtungsablauf, Belichtungsprogramm (S)/
曝光表	曝光表 	[bao4 guang1 biao3]	/Belichtungsmesser (S)/
曝光計算機	曝光计算机 	[bao4 guang1 ji4 suan4 ji1]	/Belichtungscomputer (S, EDV)/
曝光調節	曝光调节 	[bao4 guang1 diao4 jie2]	/Belichtungseinstellung (S)/
曝光速度	曝光速度 	[bao4 guang1 su4 du4]	/Belichtungsgeschwindigkeit (S)/
曝光過度	曝光过度 	[bao4 guang1 guo4 du4]	/Überbelichtung (S)/
曝光過渡	曝光过渡 	[pu4 guang1 guo4 du4]	/Ausbelichten, Ausbelichtung (S)/
曝光過渡蒙片	曝光过渡蒙片 	[pu4 guang1 guo4 du4 meng2 pian4]	/Ausbelichtungsmaske (S)/
曝光順序	曝光顺序 	[bao4 guang1 shun4 xu4]	/Kopierfolge (Repetierkopiermaschine) (S)/
曝光風扇	曝光风扇 	[bao4 guang1 feng1 shan4]	/Belichtungsfächer (S)/
曝晒	曝晒 	[pu4 shai4]	/dem Licht aussetzen (V)/
曝	曝 	[pu4]	/lüften (V)/sonnen (V)/
曝氣	曝气 	[pu4 qi4]	/Belüftung; Durchlüftung; Lüftung, Luftzufuhr (S, Chem)/
曝露	曝露 	[pu4 lu4]	/im Freien, Exposition (S)/der Luft ausgesetzt (S)/
曠世	旷世 	[kuang4 shi4]	/nicht vergleichbar, unerreicht (Adj)/langwierig (Adj)/
曠古	旷古 	[kuang4 gu3]	/seit grauer Vorzeit (S, Gesch)/
曠工	旷工 	[kuang4 gong1]	/Absenz, Arbeitabsenz (S, Wirtsch)/Fernbleiben (S)/
曠日持久	旷日持久 	[kuang4 ri4 chi2 jiu3]	/langwierig (Adj, Sprichw)/
曠	旷 	[kuang4]	/öde, überflüssig (Adj)/Kuang (Eig, Fam)/
曠課	旷课 	[kuang4 ke4]	/Fernbleiben (S)/Schule schwänzen (V)/
曠課者	旷课者 	[kuang4 ke4 zhe3]	/Schulschwänzer (S)/
曠野	旷野 	[kuang4 ye3]	/Wildnis (S)/
曦	曦 	[xi1]	/"Erste Sonnenstrahlen" (auch in männlichen Vornamen) (Eig)/"Licht des Tages". (nur in weiblichen Namen verwendet) (Eig)/(poetischer vll. mit) "Morgenröte" (zu übersetzen.) (Eig)/
曨	昽 	[long2]	/Dämmerung (S)/aufkommendes Licht des Morgengrauens (S)/dämmerig (Adj)/
曩	曩 	[nang3]	/ehemals (Adv), früher (Adj)/Nang (Eig, Fam)/
曬傷	晒伤 	[shai4 shang1]	/einen Sonnenbrand bekommen (V)/
曬台	晒台 	[shai4 tai2]	/Trockenfläche auf dem Dach, zum Sonnen für Sachen (S, Arch)/
曬太陽	晒太阳 	[shai4 tai4 yang2]	/ein Sonnenbad nehmen (V)/sich sonnen (V)/sonnenbaden (V)/
曬	晒 	[shai4]	/an der Sonne trocknen (V)/sich sonnen (V)/
曬版基漆	晒版基漆 	[shai4 ban3 ji1 qi1]	/Kopierlack (S)/
曬版感光層	晒版感光层 	[shai4 ban3 gan3 guang1 ceng2]	/Kopierschicht (S)/
曬版技術	晒版技术 	[shai4 ban3 ji4 shu4]	/Kopiertechnik (S)/
曬版	晒版 	[shai4 ban3]	/kopieren (V)/Druckplattenkopie (S, Druckw)/
曬版機	晒版机 	[shai4 ban3 ji1]	/Kopierer, Kopiergerät, Kopiermaschine (S)/
曬版測控條	晒版测控条 	[shai4 ban3 ce4 kong4 tiao2]	/Kopierkontrollstreifen (S)/
曬版燈	晒版灯 	[shai4 ban3 deng1]	/Kopierlampe, Siebdrucklampe (S, Druckw)/
曬版耐蝕膜	晒版耐蚀膜 	[shai4 ban3 nai4 shi2 mo2]	/Kopierlack (S)/
曬藍圖	晒蓝图 	[shai4 lan2 tu2]	/Lichtpauskopie (S)/
曬藍圖機	晒蓝图机 	[shai4 lan2 tu2 ji1]	/Lichtpausmaschine (S)/
曬衣服	晒衣服 	[shai4 yi1 fu5]	/Wäsche aufhängen (V)/
曬衣繩	晒衣绳 	[shai4 yi1 sheng2]	/Wäscheleine (S)/
曬黑	晒黑 	[shai4 hei1]	/bräunen (V)/in der Sonne bräunen (V)/
曰	曰 	[yue1]	/sich äußern (V)/sprechen (V)/Radikal Nr. 73 = sagen, sprechen (Sprachw)/
曱	曱 	[yue1]	/siehe 曱甴[yue1 zha2] (X)/
曲出	曲出 	[qu3 chu1]	/Quchu (Eig, Fam)/
曲別針	曲别针 	[qu3 bie2 zhen1]	/Büroklammer, Briefklammer (S, Tech)/
曲周	曲周 	[qu3 zhou1]	/Quzhou (Ort in Hebei) (Eig, Geo)/
曲周縣	曲周县 	[qu3 zhou1 xian4]	/Kreis Quzhou (Provinz Hebei, China) (Eig, Geo)/
曲奇	曲奇 	[qu3 qi2]	/Keks (S, Ess)/
曲奇餅	曲奇饼 	[qu3 qi2 bing3]	/Keks, Cookie (S, Ess)/
曲子	曲子 	[qu3 zi5]	/Musik (S, Mus)/
曲尺	曲尺 	[qu1 chi3]	/Zimmermannswinkel, Winkel (Werkzeug) (S, Tech)/
曲度	曲度 	[qu3 du4]	/Ausstich, Biegung (S)/
曲式學	曲式学 	[qu3 shi4 xue5]	/Lehre der musikalischen Formen (S, Mus)/
曲形	曲形 	[qu3 xing2]	/biegen (V)/
曲律呂	曲律吕 	[qu3 lü4 lü3]	/Qulülü (Eig, Fam)/
曲徑	曲径 	[qu1 jing4]	/Labyrinth (S)/
曲折	曲折 	[qu1 zhe2]	/Rückschläge, Komplikationen (S)/beschwerlich, verwickelt (Adj)/
曲	曲 	[qu1]	/gekrümmt, falsch (Adj)/Qu (Eig, Fam)/
曲	曲 	[qu3]	/Beuge (S)/Lied (S)/Unrecht (S)/
曲棍球場	曲棍球场 	[qu1 gun4 qiu2 chang3]	/Hockeyspielfeld (S, Sport)/
曲棍球	曲棍球 	[qu1 gun4 qiu2]	/Feldhockey (S, Sport)/
曲水	曲水 	[qu1 shui3]	/Qushui (Ort in Tibet) (Eig, Geo)/
曲水縣	曲水县 	[qu1 shui3 xian4]	/Kreis Qüxü (Autonomes Gebiet Tibet, China) (Eig, Geo)/
曲江	曲江 	[qu1 jiang1]	/Qujiang (Ort in Guangdong) (Eig, Geo)/
曲沃	曲沃 	[qu3 wo4]	/Quwo (Ort in Shanxi) (Eig, Geo)/
曲沃縣	曲沃县 	[qu3 wo4 xian4]	/Kreis Quwo (Provinz Shanxi, China) (Eig, Geo)/
曲率張量	曲率张量 	[qu3 lü4 zhang1 liang2]	/Riemannscher Krümmungstensor (S, Math)/Riemanntensor (S, Math)/
曲目	曲目 	[qu3 mu4]	/Spielplan (S)/
曲直	曲直 	[qu1 zhi2]	/Recht und Unrecht (S)/
曲突徙薪	曲突徙薪 	[qu1 tu2 xi3 xin1]	/Vorsichtsmaßnahmen treffen (Sprichw)/
曲線圖	曲线图 	[qu1 xian4 tu2]	/Liniendiagramm, Graph (S, Math)/Schaubild (S)/
曲線擬合	曲线拟合 	[qu1 xian4 ni3 he2]	/Ausgleichungsrechnung (S, Math)/
曲線	曲线 	[qu1 xian4]	/Kurve, Bogen (S, Math)/
曲線的切線方程式	曲线的切线方程式 	[qu1 xian4 de5 qie1 xian4 fang1 cheng2 shi4]	/Tangentengleichung (S, Math)/
曲線美	曲线美 	[qu1 xian4 mei3]	/kurvenreich (Adj)/
曲線表	曲线表 	[qu1 xian4 biao3]	/Plotformulare (Eig, Tech)/
曲解	曲解 	[qu1 jie3]	/verdreht, verzerrt (Adj)/Bitversatz (S)/Perversion (S)/Verfälschung (S)/Verkrümmung (S)/Verzeichnung (S)/verbohrt (Adj)/verdrehen (V)/verzerren (V)/krumm (Adj)/
曲調	曲调 	[qu3 diao4]	/Gesang (S)/Melodie (S)/
曲譜	曲谱 	[qu3 pu3]	/Partitur der klassischen chinesischen Oper (S, Mus)/
曲軸主軸	曲轴主轴 	[qu1 zhou2 zhu3 zhou2]	/Kurbelwellenlagerzapfen (S)/
曲軸凸緣	曲轴凸缘 	[qu1 zhou2 tu1 yuan2]	/Kurbelwellenflansch (S)/
曲軸	曲轴 	[qu1 zhou2]	/Kurbelwelle (S, Tech)/
曲軸磨床	曲轴磨床 	[qu1 zhou2 mo2 chuang2]	/Kurbelwellenschleifmaschine (S)/
曲軸箱	曲轴箱 	[qu3 zhou2 xiang1]	/Kurbelgehäuse (S)/
曲軸軸頸	曲轴轴颈 	[qu1 zhou2 zhou2 jing3]	/Kurbelwellenlagerzapfen (S)/
曲速引擎	曲速引擎 	[qu3 su4 yin3 qing2]	/Warpantrieb (S, Phys)/
曲鑫	曲鑫 	[qu3 xin1]	/Qu Xin (Eig, Pers, 1982 -)/
曲阜市	曲阜市 	[qu3 fu4 shi4]	/Qufu (Geo)/
曲阜	曲阜 	[qu3 fu4]	/Qufu (Eig, Geo)/
曲陽	曲阳 	[qu3 yang2]	/Quyang (Ort in Hebei) (Eig, Geo)/
曲陽縣	曲阳县 	[qu3 yang2 xian4]	/Kreis Quyang (Provinz Hebei, China) (Eig, Geo)/
曲霉毒素	曲霉毒素 	[qu3 mei2 du2 su4]	/Gießkannenschimmel (lat: Aspergillus) (S, Bot)/
曲靖地區	曲靖地区 	[qu3 jing4 di4 qu1]	/Qujing (Bezirk in Yunnan) (Eig, Geo)/
曲靖市	曲靖市 	[qu3 jing4 shi4]	/Qujing (Stadt in der Provinz Yunnan, China) (Eig, Geo)/
曲靖	曲靖 	[qu3 jing4]	/Qujing (Stadt in Yunnan) (Eig, Geo)/
曲面	曲面 	[qu1 mian4]	/Überhöhung (S)/Fläche (S, Math)/
曲馬多	曲马多 	[qu3 ma3 duo1]	/Tramadol (S, Pharm)/
曲鬆	曲松 	[qu3 song1]	/Qusong (Ort in Tibet) (Eig, Geo)/
曲麻萊	曲麻莱 	[qu3 ma2 lai2]	/Qumalai (Ort in Qinghai) (Eig, Geo)/
曳地正則	曳地正则 	[ye4 di4 zheng4 ze2]	/Hikichi Masanori (Eig, Pers, 1969 -)/
曳	曳 	[ye4]	/schleppen (V), Luftwiderstand (S)/ziehen (V)/
曳步	曳步 	[yi4 bu4]	/schlurfen (V)/
曳物線	曳物线 	[ye4 wu4 xian4]	/Traktrix (S, Math)/
更不必說	更不必说 	[geng4 bu4 bi4 shuo1]	/ganz zu schweigen von (Redew)/
更不用說	更不用说 	[geng4 bu4 yong4 shuo1]	/ganz zu schweigen von (Redew)/
更久	更久 	[geng4 jiu3]	/noch länger, lange (Adj)/
更代	更代 	[geng1 dai4]	/Substitution (S)/
更何況	更何况 	[geng4 he2 kuang4]	/viel mehr (ist es so, dass), geschweige denn erst (Redew)/
更佳和更佳	更佳和更佳 	[geng4 jia1 he2 geng4 jia1]	/immer besser (Adj)/
更佳	更佳 	[geng4 jia1]	/besser (Adj)/
更其	更其 	[geng4 qi2]	/außerdem (Adv)/
更別說	更别说 	[geng4 bie2 shuo1]	/ganz zu schweigen von (Redew)/
更加	更加 	[geng4 jia1]	/mehr, weiter (Adv)/sogar mehr (Adv)/größer (Adj)/
更加糟糕	更加糟糕 	[geng4 jia1 zao1 gao1]	/umso schlimmer (Redew)/
更動	更动 	[geng1 dong4]	/modifizieren, abwandeln, verändern (V)/
更可取	更可取 	[geng4 ke3 qu3]	/vorziehen (V)/
更名	更名 	[geng1 ming2]	/Umbenennung (S)/
更壞	更坏 	[geng4 huai4]	/schlechter, ärger (Adj)/
更多	更多 	[geng4 duo1]	/noch mehr (Adv)/viel mehr (Pron)/weit mehr (Pron)/weitere (Adj)/weitergehend (Adj)/weiterhin noch (Adv)/zusätzlich (Adj)/zuzüglich, zzgl. (P)/
更大	更大 	[geng4 da4]	/größer (Adj)/
更大的牌	更大的牌 	[geng4 da4 de5 pai2]	/Trumpf (S)/
更好	更好 	[geng4 hao3]	/mehr, weiter (Adv)/vorziehen (V)/überlegen (Adj)/besser (Adj)/beste (Adj)/gut (Adj)/
更密集	更密集 	[geng4 mi4 ji2]	/kompakt (Adj)/
更實用	更实用 	[geng4 shi2 yong4]	/noch brauchbarer (Adj)/noch nützlicher (Adj)/
更小	更小 	[geng4 xiao3]	/klein (Adj)/kleiner (Adj)/
更少	更少 	[geng4 shao3]	/geringer (Adj)/weniger (Num)/
更年期	更年期 	[geng1 nian2 qi1]	/Klimakterium, Menopause, Wechseljahre (S, Med)/
更快	更快 	[geng4 kuai4]	/schneller (Adj)/
更換印版	更换印版 	[geng1 huan4 yin4 ban3]	/Druckplatte wechseln (V)/
更換布置	更换布置 	[geng1 huan4 bu4 zhi4]	/Dislokation (S)/Verlagerung (S)/
更換	更换 	[geng1 huan4]	/austauschen, auswechseln (V)/Abwechslung (S)/Auswechselung (S)/Konversion (S)/
更換活件	更换活件 	[geng1 huan4 huo2 jian4]	/Auftragswechsel (S)/
更換裝備	更换装备 	[geng1 huan4 zhuang1 bei4]	/nachrüsten (V)/
更換過濾器	更换过滤器 	[geng1 huan4 guo4 lü4 qi4]	/Filterwechsel (S)/
更改內容	更改内容 	[geng1 gai3 nei4 rong2]	/Änderungsinhalt (S)/
更改原因	更改原因 	[geng1 gai3 yuan2 yin1]	/Änderungsgrund (S)/
更改姓名地址	更改姓名地址 	[geng1 gai3 xing4 ming2 di4 zhi3]	/Namen und Adresse ändern (V)/
更改	更改 	[geng1 gai3]	/abändern, ändern (V)/modifizieren (V)/umwandeln (V)/
更改法律	更改法律 	[geng1 gai3 fa3 lü4]	/Gesetzesänderung (S, Rechtsw)/
更新世	更新世 	[geng1 xin1 shi4]	/Pleistozän (S, Geol)/
更新換代	更新换代 	[geng1 xin1 huan4 dai4]	/erneuern und aktualisieren (V)/
更新	更新 	[geng1 xin1]	/erneuern, aktualisieren (Daten), ein Update vornehmen (V, EDV)/
更新的	更新的 	[geng4 xin1 de5]	/erneuert (EDV)/
更新者	更新者 	[geng1 xin1 zhe3]	/Regenerator (S)/
更	更 	[geng1]	/verändern (V)/erfahren, erleben (V)/Nachtwache (S)/Uhr (eines Wachposten) (S)/
更	更 	[geng4]	/ferner, mehr, weiter (Adv)/noch (+ Komparativ) (Adv)/
更替	更替 	[geng1 ti4]	/ablösen, ersetzen (V)/
更有效率	更有效率 	[geng4 you3 xiao4 lü4]	/leistungsfähig (Adj)/
更有用	更有用 	[geng4 you3 yong4]	/hat mehr Verwendung als (Redew)/noch nützlicher, brauchbarer, geeigneter, besser (Adj)/
更有益	更有益 	[geng4 you3 yi4]	/nützlicher, vorteilhafter, wertvoller (Adj)/von größerem Nutzen, bringt mehr Vorteil, bringt einem mehr Gutes (S)/
更有能力	更有能力 	[geng4 you3 neng2 li4]	/leistungsfähig (Adj)/
更樓	更楼 	[geng1 lou2]	/Wachtturm (S)/
更次	更次 	[geng1 ci4]	/Nachtzeiten (S)/
更正啟事	更正启事 	[geng1 zheng4 qi3 shi4]	/Gegendarstellung (S)/
更正	更正 	[geng1 zheng1]	/dementiert (Adj)/Bereinigung (S)/dementieren (V)/
更深	更深 	[geng1 shen1]	/sonstig (Adj)/
更漏	更漏 	[geng1 lou4]	/Wasseruhr (zum Bestimmen der Nachtwachen) (S)/
更為	更为 	[geng4 wei2]	/noch, noch mehr, umso mehr (entspricht 更加) (Adv)/
更無足輕重	更无足轻重 	[geng4 wu2 zu2 qing1 chong2]	/klein (Adj)/kleiner (Adj)/
更熟練	更熟练 	[geng4 shu2 lian4]	/leistungsfähig (Adj)/
更甚者	更甚者 	[geng4 shen4 zhe3]	/darüber hinaus, sogar (Adv)/
更生	更生 	[geng1 sheng1]	/Auferstehung (S)/Wiederauferstehung (S)/Wiedergeburt (S)/neu belebt, verjüngt (Adj)/
更生者	更生者 	[geng4 sheng1 zhe3]	/Regenerator (S)/
更緊湊	更紧凑 	[geng4 jin3 cou4]	/kompakt (Adj)/
更老	更老 	[geng4 lao3]	/alt, älter (Adj)/
更血腥	更血腥 	[geng4 xue4 xing1]	/blutig (Adj)/
更衣室僕人	更衣室仆人 	[geng1 yi1 shi4 pu2 ren2]	/Garderobier (S)/
更衣室	更衣室 	[geng1 yi1 shi4]	/Ankleideraum (S)/Umkleideraum (S)/
更衣	更衣 	[geng1 yi1]	/sich umziehen, die Kleidung wechseln (V)/
更迭	更迭 	[geng1 die2]	/Wechsel (S)/abwechseln (V)/
更遠	更远 	[geng4 yuan3]	/ferner, überdies (Adv)/lang (Adj)/
更適用	更适用 	[geng4 shi4 yong4]	/noch brauchbar, noch nützlicher (Adj)/noch geeigneter (Adj)/
更遲	更迟 	[geng4 chi2]	/spät (Adj)/
更重要	更重要 	[geng4 zhong4 yao4]	/wichtiger (Adj)/
更長	更长 	[geng4 chang2]	/länger (Adj)/
更香	更香 	[geng1 xiang1]	/Räucherkerzen zur Bestimmung der Nachtwachen (S)/
更香	更香 	[jing1 xiang1]	/Räucherkerzen zur Bestimmung der Nachtwachen (S)/
更高性能	更高性能 	[geng1 gao1 xing4 neng2]	/hochleistungsfähig (Adj), Hochleistung (S)/
更高	更高 	[geng4 gao1]	/Ober- (S)/über (P)/noch höher (Adj)/Chef des Vereinvorstands (S)/Präsident (S)/
曷	曷 	[he2]	/als (Konj), während (P)/das (Art), was (Pron)/
曷薩拉王朝	曷萨拉王朝 	[he2 sa4 la1 wang2 chao2]	/Hoysala (hist. ind. Dynastie) (Eig, Gesch)/
書	书 	[shu1]	/schreiben (V); Bsp.: 書寫 书写 -- schreiben/Buch (S); Bsp.: 這本書是我的。 这本书是我的。 -- Dieses Buch gehört mir./Handschrift; Schreibstil (S); Bsp.: 草書 草书 -- Kursivschrift/Brief; Schreiben (S); Bsp.: 書信 书信 -- Brief; Schreiben/
書信市場	书信市场 	[shu1 xin4 shi4 chang3]	/Briefmarkt (S)/
書信往來	书信往来 	[shu1 xin4 wang3 lai2]	/Briefwechsel (S)/
書價	书价 	[shu1 jia4]	/Buchpreis (S)/
書冊	书册 	[shu1 ce4]	/Buchband (S, Druckw)/
書刊	书刊 	[shu1 kan1]	/Bücher und Zeitschriften (S, Lit)/
書刊印刷品	书刊印刷品 	[shu1 kan1 yin4 shua4 pin3]	/Druckprodukt, Druckerzeugnis (S)/
書刊裝訂	书刊装订 	[shu1 kan1 zhuang1 ding4]	/Bedruckstoffverarbeitung, buchbinderische Verarbeitung (S, Druckw)/
書刊開本	书刊开本 	[shu1 kan1 kai1 ben3]	/Buchformat (S, Druckw)/
書包	书包 	[shu1 bao1]	/Schultasche, Ranzen (S)/
書卷	书卷 	[shu1 juan4]	/Inhalt (S)/
書口正面光邊	书口正面光边 	[shu1 kou3 zheng4 mian4 guang1 bian1]	/Frontschnitt (S)/
書名	书名 	[shu1 ming2]	/Buchtitel (S)/
書名號	书名号 	[shu1 ming2 hao4]	/Anführungszeichen (S)/
書呆子	书呆子 	[shu1 dai1 zi5]	/Pedanterie (S)/
書商	书商 	[shu1 shang1]	/Buchhändler (S)/
書單	书单 	[shu1 dan1]	/Bücherliste (S)/
書坊	书坊 	[shu1 fang1]	/Büchergeschäft (S)/Bücherladen (S)/Buchgeschäft (S)/Buchladen (S)/
書報	书报 	[shu1 bao4]	/Bücher und Zeitungen (S, Lit)/
書套	书套 	[shu1 tao4]	/Schutzkarton, Schuber (S, Druckw)/
書寫	书写 	[shu1 xie3]	/schreiben, abfassen, ausfertigen (V)/
書寫檯燈	书写台灯 	[shu1 xie3 tai2 deng1]	/Leselampe (S)/
書寫紙	书写纸 	[shu1 xie3 zhi3]	/Durchschlagpapier (S)/
書寫語言	书写语言 	[shu1 xie3 yu3 yan2]	/Schriftsprache (S)/
書局	书局 	[shu1 ju2]	/Buchhandlung (S)/Verlag, Verlagshaus (S)/
書展	书展 	[shu1 zhan3]	/Buchausstellung, Buchmesse (S)/
書帖	书帖 	[shu1 tie3]	/Heftbogen (S)/
書帖折頁	书帖折页 	[shu1 tie3 zhe2 ye4]	/Lagenfalzung (S)/
書帖折頁機	书帖折页机 	[shu1 tie3 zhe2 ye4 ji1]	/Lagenfalzmaschine (S)/
書帖碼堆機	书帖码堆机 	[shu1 tie3 ma3 dui1 ji1]	/Lagenstapler (S)/
書店	书店 	[shu1 dian4]	/Buchhandlung, Buchladen (S)/
書庫	书库 	[shu1 ku4]	/Bücherei (S)/
書房	书房 	[shu1 fang2]	/Arbeitszimmer (S)/
書攤	书摊 	[shu1 tan1]	/Zeitungsstand (S)/
書本上	书本上 	[shu1 ben3 shang4]	/in Büchern (S)/
書本	书本 	[shu1 ben3]	/Buch (S)/Lernmittel (S)/Schulwissen (S)/
